Country,fips
Australia,xxxx1
Bangladesh,xxxx2
Bhutan,xxxx3
Brunei,xxxx4
Cambodia,xxxx5
"Chuuk, FSM",xxxx6
Cook Islands,xxxx7
Fiji,xxxx8
Hong Kong,xxxx9
India,xxxx10
Indonesia,xxxx11
Japan,xxxx12
Kiribati,xxxx13
"Kosrae, FSM",xxxx14
Laos,xxxx15
Malaysia,xxxx16
Maldives,xxxx17
Marshall Islands,xxxx18
Mongolia,xxxx19
Myanmar / Burma,xxxx20
Nauru,xxxx21
Nepal,xxxx22
New Zealand,xxxx23
Niue,xxxx24
North Korea,xxxx25
Palau,xxxx26
Papua New Guinea,xxxx27
Philippines,xxxx28
"Pohnpei, FSM",xxxx29
China,xxxx30
Samoa,xxxx31
Singapore,xxxx32
Solomon Islands,xxxx33
"Korea, South",xxxx34
Sri Lanka,xxxx35
Taiwan*,xxxx36
Thailand,xxxx37
Timor-Leste,xxxx38
Tokelau,xxxx39
Tonga,xxxx40
Tuvalu,xxxx41
Vanuatu,xxxx42
"Yap, FSM",xxxx43
