county_fips,state,county_name_x,population
xxxx1,Australia,Australia,24898152
xxxx2,Bangladesh,Bangladesh,162650853
xxxx3,Bhutan,Bhutan,766397
xxxx4,Brunei,Brunei,450565
xxxx5,Cambodia,Cambodia,16249792
xxxx30,China,China,1439323774
xxxx6,"Chuuk, FSM","Chuuk, FSM",48654
xxxx7,Cook Islands,Cook Islands,17379
xxxx8,Fiji,Fiji,883483
xxxx9,Hong Kong,Hong Kong,7496988
xxxx10,India,India,1326093247
xxxx11,Indonesia,Indonesia,267026366
xxxx12,Japan,Japan,126476458
xxxx13,Kiribati,Kiribati,119446
xxxx34,"Korea, South","Korea, South",51269183
xxxx14,"Kosrae, FSM","Kosrae, FSM",6616
xxxx15,Laos,Laos,7061507
xxxx16,Malaysia,Malaysia,32365998
xxxx17,Maldives,Maldives,540542
xxxx18,Marshall Islands,Marshall Islands,77917
xxxx19,Mongolia,Mongolia,3278292
xxxx20,Myanmar / Burma,Myanmar / Burma,54409794
xxxx21,Nauru,Nauru,10824
xxxx22,Nepal,Nepal,29136808
xxxx23,New Zealand,New Zealand,4822233
xxxx24,Niue,Niue,1624
xxxx25,North Korea,North Korea,25778815
xxxx26,Palau,Palau,21685
xxxx27,Papua New Guinea,Papua New Guinea,7259456
xxxx28,Philippines,Philippines,109180815
xxxx29,"Pohnpei, FSM","Pohnpei, FSM",36196
xxxx31,Samoa,Samoa,198410
xxxx32,Singapore,Singapore,5850343
xxxx33,Solomon Islands,Solomon Islands,685097
xxxx35,Sri Lanka,Sri Lanka,21413250
xxxx36,Taiwan*,Taiwan*,23816775
xxxx37,Thailand,Thailand,69799978
xxxx38,Timor-Leste,Timor-Leste,1318442
xxxx39,Tokelau,Tokelau,1357
xxxx40,Tonga,Tonga,105697
xxxx41,Tuvalu,Tuvalu,11792
xxxx42,Vanuatu,Vanuatu,307150
xxxx43,"Yap, FSM","Yap, FSM",11377
